Long Covid--- Long Covid: 0.0;;;TimesVisited: 32488.3
Vital status at discharge:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.02686238763034654;;;TimesVisited: 10.0
If yes (check all that apply): (choice=Non-invasive cannula/mask support)--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.02686238763034654;;;TimesVisited: 10.0
If yes (check all that apply): (choice=Non-invasive support via High-flow nasal cannula (HFNC))--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.02686238763034654;;;TimesVisited: 10.8
Adjunctive therapy during hospitalization--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.02686238763034654;;;TimesVisited: 10.5
Albumin (LOWEST value)--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.02686238763034654;;;TimesVisited: 10.4
On arrival,  is the participant receiving oxygen ?--- On arrival,  is the participant receiving oxygen ?: 0.02686238763034654;;;TimesVisited: 10.7
At the time of collection, is the participant receiving oxygen ?--- At the time of collection, is the participant receiving oxygen ?: 0.02686238763034654;;;TimesVisited: 10.2
Platelets:--- Platelet (LOWEST value): 0.02686238763034654;;;TimesVisited: 10.0
Liver dysfunction?--- Liver dysfunction?: 0.02686238763034654;;;TimesVisited: 10.0
Hyperglycemia?--- Hyperglycemia?: 0.02686238763034654;;;TimesVisited: 10.0
Treatments administered: (choice=Ivermectin (Stromectol))--- Long Covid: 0.02686238763034654;;;TimesVisited: 10.1
Breathlessness:--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.02686238763034654;;;TimesVisited: 10.9
Headache ?.1--- Headache ?.1: 0.02686238763034654;;;TimesVisited: 10.1
Runny nose (Rhinorrhea) ?.1--- Runny nose (Rhinorrhea) ?.1: 0.02686238763034654;;;TimesVisited: 10.6
Sexe:--- Weight in kg:: 0.030210707538398274;;;TimesVisited: 9.0
Age at arrival:--- From which company did the participant receive the vaccine?: 0.030210707538398274;;;TimesVisited: 9.6
Electronic cigarettes?--- Electronic cigarettes?: 0.030210707538398274;;;TimesVisited: 9.3
Drugs?--- Drugs?: 0.030210707538398274;;;TimesVisited: 9.1
Please specify drugs used. (choice=Cannabis)--- Long Covid: 0.030210707538398274;;;TimesVisited: 9.2
Red eye (Conjunctivitis) ?--- Long Covid: 0.030210707538398274;;;TimesVisited: 9.4
If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?--- Loss of taste / lost of smell ?: 0.030210707538398274;;;TimesVisited: 9.1
From which company did the participant receive the vaccine?--- Loss of taste / lost of smell ?: 0.030210707538398274;;;TimesVisited: 9.4
Oxygen therapy--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.030210707538398274;;;TimesVisited: 9.1
Treatments administered: (choice=Other antibiotic (specify))--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.030210707538398274;;;TimesVisited: 9.6
On arrival,  is the participant receiving oxygen ?--- If yes (check all that apply): (choice=Non-invasive cannula/mask support): 0.030210707538398274;;;TimesVisited: 9.2
At the time of collection, is the participant receiving oxygen ?--- If yes (check all that apply): (choice=Non-invasive cannula/mask support): 0.030210707538398274;;;TimesVisited: 9.6
ICU admission?--- ICU admission?: 0.030210707538398274;;;TimesVisited: 9.7
Anemia?--- Anemia?: 0.030210707538398274;;;TimesVisited: 9.9
Point of care ultrasound (POCUS)?--- Point of care ultrasound (POCUS)?: 0.030210707538398274;;;TimesVisited: 9.3
Treatments administered: (choice=Other antibiotic (specify))--- If yes (check all that apply): (choice=Non-invasive cannula/mask support): 0.030210707538398274;;;TimesVisited: 9.6
If yes (check all that apply): (choice=Extracorporeal membrane oxygenation (ECMO))--- Long Covid: 0.030210707538398274;;;TimesVisited: 9.7
Treatments administered: (choice=Lopinavir/Ritonavir (Kaletra))--- Long Covid: 0.030210707538398274;;;TimesVisited: 9.5
Albumin (LOWEST value)--- Treatments administered: (choice=Other antibiotic (specify)): 0.030210707538398274;;;TimesVisited: 9.8
Treatments administered: (choice=Plasma)--- Treatments administered: (choice=Plasma): 0.030210707538398274;;;TimesVisited: 9.9
Treatments administered: (choice=Tocilizumab (Actemra))--- Treatments administered: (choice=Tocilizumab (Actemra)): 0.030210707538398274;;;TimesVisited: 9.8
From which company did the participant receive the vaccine?--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.030210707538398274;;;TimesVisited: 9.5
Abdominal pain ?.1--- Abdominal pain ?.1: 0.030210707538398274;;;TimesVisited: 9.7
Dizziness ?.1--- Dizziness ?.1: 0.030210707538398274;;;TimesVisited: 9.3
Number of doses received:--- From which company did the participant receive the vaccine?: 0.030210707538398274;;;TimesVisited: 9.0
Number of doses received:--- Long Covid: 0.030210707538398274;;;TimesVisited: 9.7
Level of care (final):--- Age au recrutement:: 0.0341380702573818;;;TimesVisited: 8.3
Age au recrutement:--- From which company did the participant receive the vaccine?: 0.0341380702573818;;;TimesVisited: 8.9
BMI:--- Weight in kg:: 0.0341380702573818;;;TimesVisited: 8.9
Drugs?--- Please specify drugs used. (choice=Cannabis): 0.0341380702573818;;;TimesVisited: 8.0
Please specify drugs used. (choice=Cannabis)--- Drugs?: 0.0341380702573818;;;TimesVisited: 8.7
Dementia ? --- Dementia ? : 0.0341380702573818;;;TimesVisited: 8.2
Diabetes ?--- HGO or insulin?: 0.0341380702573818;;;TimesVisited: 8.2
Heart failure ?--- Heart failure ?: 0.0341380702573818;;;TimesVisited: 8.0
Rheumatologic disease ?--- Rheumatologic disease ?: 0.0341380702573818;;;TimesVisited: 8.1
Colchicine?--- Colchicine?: 0.0341380702573818;;;TimesVisited: 8.5
Asymptomatic?--- Asymptomatic?: 0.0341380702573818;;;TimesVisited: 8.6
Loss of taste / lost of smell ?.1--- Loss of taste / lost of smell ?: 0.0341380702573818;;;TimesVisited: 8.6
Ventilatory support:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.0341380702573818;;;TimesVisited: 8.9
If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?--- Treatments administered: (choice=Azithromycin (Zithromax)): 0.0341380702573818;;;TimesVisited: 8.0
Treatments administered: (choice=Systematic corticosteroid)--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.0341380702573818;;;TimesVisited: 8.1
O2 saturation at room air :--- If yes (check all that apply): (choice=Non-invasive cannula/mask support): 0.0341380702573818;;;TimesVisited: 8.0
If yes: (choice=High-flow nasal cannula (HFNC))--- If yes: (choice=High-flow nasal cannula (HFNC)): 0.0341380702573818;;;TimesVisited: 8.7
C-reactive protein (CRP):--- C-reactive protein (CRP) (HIGHEST value): 0.0341380702573818;;;TimesVisited: 8.6
C-reactive protein (CRP) (HIGHEST value)--- C-reactive protein (CRP):: 0.0341380702573818;;;TimesVisited: 8.5
Acute kidney injury?--- Acute kidney injury?: 0.0341380702573818;;;TimesVisited: 8.5
Chest x-ray?--- Chest x-ray?: 0.0341380702573818;;;TimesVisited: 8.5
CT Head?--- CT Head?: 0.0341380702573818;;;TimesVisited: 8.2
If yes (check all that apply): (choice=Non-invasive ventilation CPAP/BPAP)--- If yes (check all that apply): (choice=Non-invasive ventilation CPAP/BPAP): 0.0341380702573818;;;TimesVisited: 8.2
If yes (check all that apply): (choice=Prone positioning)--- If yes (check all that apply): (choice=Prone positioning): 0.0341380702573818;;;TimesVisited: 8.4
Treatments administered: (choice=Colchicine)--- Long Covid: 0.0341380702573818;;;TimesVisited: 8.9
Treatments administered: (choice=Other antibiotic (specify))--- Treatments administered: (choice=Systematic corticosteroid): 0.0341380702573818;;;TimesVisited: 8.8
Has the participant had any new disease and/or worsening and/or deterioration of a pre-existing disease?--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.0341380702573818;;;TimesVisited: 8.7
Please move the slider to indicate from 0 to 100 how your health is TODAY, 100 being the best health you can imagine and 0 being the worst health you can imagine.--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.0341380702573818;;;TimesVisited: 8.5
Diarrhea ?.1--- Long Covid: 0.0341380702573818;;;TimesVisited: 8.3
Chest pain ?.1--- Chest pain ?.1: 0.0341380702573818;;;TimesVisited: 8.7
Loss of appetite ?.1--- Loss of appetite ?.1: 0.0341380702573818;;;TimesVisited: 8.8
Sore throat ?.1--- Sore throat ?.1: 0.0341380702573818;;;TimesVisited: 8.4
How many times have you fallen in the past year?--- Long Covid: 0.0341380702573818;;;TimesVisited: 8.3
Sexe:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.038798222639606195;;;TimesVisited: 7.3
Age at arrival:--- Arterial Hypertension ?: 0.038798222639606195;;;TimesVisited: 7.0
Age at arrival:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.038798222639606195;;;TimesVisited: 7.7
Weight in kg:--- BMI:: 0.038798222639606195;;;TimesVisited: 7.7
Please specify drugs used. (choice=Cannabis)--- Please specify drugs used. (choice=Cannabis): 0.038798222639606195;;;TimesVisited: 7.1
Please specify drugs used. (choice=Opiods)--- Long Covid: 0.038798222639606195;;;TimesVisited: 7.6
Other chronic lung disease ? --- Other chronic lung disease ? : 0.038798222639606195;;;TimesVisited: 7.5
Prior stroke ? --- Prior stroke ? : 0.038798222639606195;;;TimesVisited: 7.5
Liver disease ?--- Liver disease ?: 0.038798222639606195;;;TimesVisited: 7.8
Malnutrition ?--- Malnutrition ?: 0.038798222639606195;;;TimesVisited: 7.0
COPD (emphysema, chronic bronchitis) ?--- COPD (emphysema, chronic bronchitis) ?: 0.038798222639606195;;;TimesVisited: 7.1
Colchicine?--- Systemic corticosteroid?: 0.038798222639606195;;;TimesVisited: 7.3
Other immunosuppressive medications?--- Systemic corticosteroid?: 0.038798222639606195;;;TimesVisited: 7.3
Colchicine?--- Anticoagulants?: 0.038798222639606195;;;TimesVisited: 7.4
Colchicine?--- HGO or insulin?: 0.038798222639606195;;;TimesVisited: 7.6
Shortness of breath (Dyspnea) ?--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.038798222639606195;;;TimesVisited: 7.5
Hemoptysis / Bloody sputum ?--- Long Covid: 0.038798222639606195;;;TimesVisited: 7.3
Loss of appetite ?--- Long Covid: 0.038798222639606195;;;TimesVisited: 7.4
Headache ?--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.038798222639606195;;;TimesVisited: 7.7
Trouble speaking (Aphasia / Dysphasia) ?--- Trouble speaking (Aphasia / Dysphasia) ?: 0.038798222639606195;;;TimesVisited: 7.1
At the time of collection, is the participant receiving oxygen ?--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.038798222639606195;;;TimesVisited: 7.7
Acute Respiratory Distress Syndrome (ARDS)?--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.038798222639606195;;;TimesVisited: 7.3
If yes (check all that apply): (choice=Invasive support with mechanical ventilation)--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.038798222639606195;;;TimesVisited: 7.7
Treatments administered: (choice=Azithromycin (Zithromax))--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.038798222639606195;;;TimesVisited: 7.0
Sodium Na+ (HIGHEST value)--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.038798222639606195;;;TimesVisited: 7.0
C-reactive protein (CRP) (HIGHEST value)--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.038798222639606195;;;TimesVisited: 7.0
O2 saturation at room air :--- Treatments administered: (choice=Systematic corticosteroid): 0.038798222639606195;;;TimesVisited: 7.5
Neutrophil (x 10^9/L):--- Neutrophil (x 10^9/L):: 0.038798222639606195;;;TimesVisited: 7.9
Lymphocyte (relative value):--- Lymphocyte (relative value):: 0.038798222639606195;;;TimesVisited: 7.9
Eosinophil (x 10^9/L):--- Eosinophil (x 10^9/L):: 0.038798222639606195;;;TimesVisited: 7.9
Platelet (LOWEST value)--- Platelets:: 0.038798222639606195;;;TimesVisited: 7.9
Pleural effusion?--- Pleural effusion?: 0.038798222639606195;;;TimesVisited: 7.8
Bacterial pneumonia?--- Bacterial pneumonia?: 0.038798222639606195;;;TimesVisited: 7.0
Acute Respiratory Distress Syndrome (ARDS)?--- Acute Respiratory Distress Syndrome (ARDS)?: 0.038798222639606195;;;TimesVisited: 7.3
Positive viral infection documented during hospitalization:--- If yes, specify virus: (choice=Other, specify): 0.038798222639606195;;;TimesVisited: 7.5
Positive bacterial culture documented during hospitalization?--- Positive bacterial culture documented during hospitalization?: 0.038798222639606195;;;TimesVisited: 7.4
Positive bacterial culture documented during hospitalization?--- Treatments administered: (choice=Other antibiotic (specify)): 0.038798222639606195;;;TimesVisited: 7.5
CT Abdomen?--- CT Abdomen?: 0.038798222639606195;;;TimesVisited: 7.9
Oxygen therapy--- Treatments administered: (choice=Systematic corticosteroid): 0.038798222639606195;;;TimesVisited: 7.3
If yes (check all that apply): (choice=Non-invasive support via High-flow nasal cannula (HFNC))--- If yes (check all that apply): (choice=Non-invasive cannula/mask support): 0.038798222639606195;;;TimesVisited: 7.5
Treatments administered: (choice=Azithromycin (Zithromax))--- If yes (check all that apply): (choice=Non-invasive cannula/mask support): 0.038798222639606195;;;TimesVisited: 7.8
If yes (check all that apply): (choice=Vasopressor/inotropic support)--- If yes (check all that apply): (choice=Vasopressor/inotropic support): 0.038798222639606195;;;TimesVisited: 7.2
If yes (check all that apply): (choice=Other(s), specify)--- If yes (check all that apply): (choice=Other(s), specify): 0.038798222639606195;;;TimesVisited: 7.2
Creatinine (HIGHEST value)--- Creatinine (HIGHEST value): 0.038798222639606195;;;TimesVisited: 7.3
How much difficulty do you have climbing a flight of 10 stairs?--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.038798222639606195;;;TimesVisited: 7.2
Confusion / altered mental status ?.1--- Confusion / altered mental status ?.1: 0.038798222639606195;;;TimesVisited: 7.4
Dizziness ?.1--- Long Covid: 0.038798222639606195;;;TimesVisited: 7.5
Loss of appetite ?.1--- Long Covid: 0.038798222639606195;;;TimesVisited: 7.7
Mobility--- Self-care: 0.038798222639606195;;;TimesVisited: 7.4
Mobility--- How much difficulty do you have climbing a flight of 10 stairs?: 0.038798222639606195;;;TimesVisited: 7.1
Breathlessness:--- How much difficulty do you have climbing a flight of 10 stairs?: 0.038798222639606195;;;TimesVisited: 7.1
How much difficulty do you have walking across a room?--- How much difficulty do you have transferring from a chair to a bed?: 0.038798222639606195;;;TimesVisited: 7.7
Age au recrutement:--- Arterial Hypertension ?: 0.04440952151918309;;;TimesVisited: 6.9
From which company did the participant receive the vaccine?--- Age at arrival:: 0.04440952151918309;;;TimesVisited: 6.3
Living where?--- Living with?: 0.04440952151918309;;;TimesVisited: 6.0
Living with?--- Living where?: 0.04440952151918309;;;TimesVisited: 6.8
Disposition:--- Living where?: 0.04440952151918309;;;TimesVisited: 6.4
Atrial fibrillation or flutter ?--- Anticoagulants?: 0.04440952151918309;;;TimesVisited: 6.0
Arterial Hypertension ?--- ACE inhibitor or Angiotensin Receptor Blocker?: 0.04440952151918309;;;TimesVisited: 6.0
Other immunosuppressive medications?--- Immunosupressed state?: 0.04440952151918309;;;TimesVisited: 6.3
Colchicine?--- ACE inhibitor or Angiotensin Receptor Blocker?: 0.04440952151918309;;;TimesVisited: 6.1
Systemic corticosteroid?--- Anticoagulants?: 0.04440952151918309;;;TimesVisited: 6.8
HGO or insulin?--- Anticoagulants?: 0.04440952151918309;;;TimesVisited: 6.1
Other immunosuppressive medications?--- Anticoagulants?: 0.04440952151918309;;;TimesVisited: 6.2
Colchicine?--- Long Covid: 0.04440952151918309;;;TimesVisited: 6.3
Asymptomatic?--- Long Covid: 0.04440952151918309;;;TimesVisited: 6.1
Joint pain (Arthralgia) ?--- Muscle aches (Myalgia) ?: 0.04440952151918309;;;TimesVisited: 6.8
Red eye (Conjunctivitis) ?--- Red eye (Conjunctivitis) ?: 0.04440952151918309;;;TimesVisited: 6.8
Chest pain ?--- Long Covid: 0.04440952151918309;;;TimesVisited: 6.2
Shortness of breath (Dyspnea) ?--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.04440952151918309;;;TimesVisited: 6.9
Treatments administered: (choice=Other antibiotic (specify))--- Loss of taste / lost of smell ?: 0.04440952151918309;;;TimesVisited: 6.3
Albumin:--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.04440952151918309;;;TimesVisited: 6.1
If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?--- If yes (check all that apply): (choice=Non-invasive support via High-flow nasal cannula (HFNC)): 0.04440952151918309;;;TimesVisited: 6.8
If yes (check all that apply): (choice=Vasopressor/inotropic support)--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.04440952151918309;;;TimesVisited: 6.5
Systolic BP:.1--- From which company did the participant receive the vaccine?: 0.04440952151918309;;;TimesVisited: 6.3
Heart rate (associated with BP above):.1--- From which company did the participant receive the vaccine?: 0.04440952151918309;;;TimesVisited: 6.6
Albumin:--- From which company did the participant receive the vaccine?: 0.04440952151918309;;;TimesVisited: 6.1
ICU admission?--- If yes (check all that apply): (choice=Non-invasive support via High-flow nasal cannula (HFNC)): 0.04440952151918309;;;TimesVisited: 6.5
Vital status at discharge:--- Vital status at discharge:: 0.04440952151918309;;;TimesVisited: 6.4
Echocardiogram? --- Echocardiogram? : 0.04440952151918309;;;TimesVisited: 6.8
If yes (check all that apply): (choice=Non-invasive cannula/mask support)--- Treatments administered: (choice=Azithromycin (Zithromax)): 0.04440952151918309;;;TimesVisited: 6.6
Albumin (LOWEST value)--- If yes (check all that apply): (choice=Non-invasive cannula/mask support): 0.04440952151918309;;;TimesVisited: 6.7
If yes (check all that apply): (choice=Non-invasive support via High-flow nasal cannula (HFNC))--- Treatments administered: (choice=Other antibiotic (specify)): 0.04440952151918309;;;TimesVisited: 6.3
If yes (check all that apply): (choice=Non-invasive support via High-flow nasal cannula (HFNC))--- Treatments administered: (choice=Systematic corticosteroid): 0.04440952151918309;;;TimesVisited: 6.8
If yes (check all that apply): (choice=Invasive support with mechanical ventilation)--- If yes (check all that apply): (choice=Invasive support with mechanical ventilation): 0.04440952151918309;;;TimesVisited: 6.6
If yes (check all that apply): (choice=Vasopressor/inotropic support)--- Treatments administered: (choice=Other antibiotic (specify)): 0.04440952151918309;;;TimesVisited: 6.2
If yes (check all that apply): (choice=Blood transfusion)--- If yes (check all that apply): (choice=Blood transfusion): 0.04440952151918309;;;TimesVisited: 6.7
Treatments administered: (choice=Antifungal)--- Treatments administered: (choice=Antifungal): 0.04440952151918309;;;TimesVisited: 6.3
Treatments administered: (choice=Hydroxychloroquine (Plaquenil))--- Treatments administered: (choice=Azithromycin (Zithromax)): 0.04440952151918309;;;TimesVisited: 6.8
Treatments administered: (choice=Azithromycin (Zithromax))--- Treatments administered: (choice=Systematic corticosteroid): 0.04440952151918309;;;TimesVisited: 6.7
Haemoglobin (LOWEST value)--- Treatments administered: (choice=Other antibiotic (specify)): 0.04440952151918309;;;TimesVisited: 6.2
Haemoglobin (LOWEST value)--- From which company did the participant receive the vaccine?: 0.04440952151918309;;;TimesVisited: 6.5
Pain and discomfort:--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.04440952151918309;;;TimesVisited: 6.5
Nausea / vomiting ?.1--- Nausea / vomiting ?.1: 0.04440952151918309;;;TimesVisited: 6.3
Skin rash ?.1--- Skin rash ?.1: 0.04440952151918309;;;TimesVisited: 6.0
Wheezing or stridor ?.1--- Wheezing or stridor ?.1: 0.04440952151918309;;;TimesVisited: 6.6
Trouble speaking (Aphasia / Dysphasia) ?.1--- Trouble speaking (Aphasia / Dysphasia) ?.1: 0.04440952151918309;;;TimesVisited: 6.5
Trouble speaking (Aphasia / Dysphasia) ?.1--- Long Covid: 0.04440952151918309;;;TimesVisited: 6.8
Self-care--- Mobility: 0.04440952151918309;;;TimesVisited: 6.9
How much difficulty do you have walking across a room?--- Mobility: 0.04440952151918309;;;TimesVisited: 6.7
Self-care--- Usual activities, including work, study, housework, family or leisure activities:: 0.04440952151918309;;;TimesVisited: 6.7
Usual activities, including work, study, housework, family or leisure activities:--- Self-care: 0.04440952151918309;;;TimesVisited: 6.4
Self-care--- How much difficulty do you have walking across a room?: 0.04440952151918309;;;TimesVisited: 6.1
How much difficulty do you have climbing a flight of 10 stairs?--- Usual activities, including work, study, housework, family or leisure activities:: 0.04440952151918309;;;TimesVisited: 6.2
How much difficulty do you have lifting or carrying 10 lbs?--- How much difficulty do you have walking across a room?: 0.04440952151918309;;;TimesVisited: 6.7
How much difficulty do you have lifting or carrying 10 lbs?--- How much difficulty do you have climbing a flight of 10 stairs?: 0.04440952151918309;;;TimesVisited: 6.0
