Time of blood draw:--- Long Covid: 0.0;;;TimesVisited: 2656.6
Time of blood draw:--- Fatigue ?: 0.03677838836498615;;;TimesVisited: 46.5
Red eye (Conjunctivitis) ?--- Red eye (Conjunctivitis) ?: 0.03776689455812454;;;TimesVisited: 45.4
Ear pain ?--- Long Covid: 0.03776689455812454;;;TimesVisited: 45.2
Muscle aches (Myalgia) ?.1--- Time of blood draw:: 0.03776689455812454;;;TimesVisited: 45.4
How much difficulty do you have climbing a flight of 10 stairs?--- Time of blood draw:: 0.03776689455812454;;;TimesVisited: 45.4
Usual activities, including work, study, housework, family or leisure activities:--- Breathlessness:: 0.03776689455812454;;;TimesVisited: 45.2
Breathlessness:--- Usual activities, including work, study, housework, family or leisure activities:: 0.03776689455812454;;;TimesVisited: 45.2
Weight in kg:--- Long Covid: 0.03879001241847535;;;TimesVisited: 44.6
Is the participant employed in a Microbiology Laboratory?  --- Time of blood draw:: 0.03879001241847535;;;TimesVisited: 44.2
Asymptomatic?--- Long Covid: 0.03879001241847535;;;TimesVisited: 44.9
Extremity weakness or numbness ?--- Time of blood draw:: 0.03879001241847535;;;TimesVisited: 44.1
Time of blood draw:--- Extremity weakness or numbness ?: 0.03879001241847535;;;TimesVisited: 44.3
Time of blood draw:--- Nausea / vomiting ?: 0.03879001241847535;;;TimesVisited: 44.0
Skin rash ?--- Time of blood draw:: 0.03879001241847535;;;TimesVisited: 44.7
How would you rate your current level of functioning? See options above.--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.03879001241847535;;;TimesVisited: 44.6
Time of blood draw:--- Dizziness ?: 0.0398494303049568;;;TimesVisited: 43.6
Joint pain (Arthralgia) ?.1--- Time of blood draw:: 0.0398494303049568;;;TimesVisited: 43.6
Runny nose (Rhinorrhea) ?.1--- Time of blood draw:: 0.0398494303049568;;;TimesVisited: 43.3
Type of repeat hospital visit: (choice=Hospital admission)--- Long Covid: 0.0398494303049568;;;TimesVisited: 43.5
Usual activities, including work, study, housework, family or leisure activities:--- How much difficulty do you have climbing a flight of 10 stairs?: 0.0398494303049568;;;TimesVisited: 43.3
Weight in kg:--- From which company did the participant receive the vaccine?: 0.0409469524031395;;;TimesVisited: 42.2
Arterial Hypertension ?--- Time of blood draw:: 0.0409469524031395;;;TimesVisited: 42.7
Does the patient have other comorbidities?--- Time of blood draw:: 0.0409469524031395;;;TimesVisited: 42.6
Fatigue ?--- Time of blood draw:: 0.0409469524031395;;;TimesVisited: 42.7
Ear pain ?--- Time of blood draw:: 0.0409469524031395;;;TimesVisited: 42.3
Time of blood draw:--- Fatigue ?.1: 0.0409469524031395;;;TimesVisited: 42.1
Self-care--- Self-care: 0.0409469524031395;;;TimesVisited: 42.4
Please move the slider to indicate from 0 to 100 how your health is TODAY, 100 being the best health you can imagine and 0 being the worst health you can imagine.--- Usual activities, including work, study, housework, family or leisure activities:: 0.0409469524031395;;;TimesVisited: 42.8
Type of sample used for the PCR test determining the participant's COVID status:--- Country of birth:: 0.042084509463509834;;;TimesVisited: 41.8
Other chronic cardiac disease ?--- Other chronic cardiac disease ?: 0.042084509463509834;;;TimesVisited: 41.3
Other chronic lung disease ? --- Long Covid: 0.042084509463509834;;;TimesVisited: 41.5
Rheumatologic disease ?--- Time of blood draw:: 0.042084509463509834;;;TimesVisited: 41.5
Leg swelling (Edema) ?--- Long Covid: 0.042084509463509834;;;TimesVisited: 41.2
Number of doses received:--- From which company did the participant receive the vaccine?: 0.042084509463509834;;;TimesVisited: 41.2
Prior transient ischemic attack (TIA) ?--- Long Covid: 0.04326417081928591;;;TimesVisited: 40.5
Obesity ?--- Obesity ?: 0.04326417081928591;;;TimesVisited: 40.8
Time of blood draw:--- Abdominal pain ?: 0.04326417081928591;;;TimesVisited: 40.6
From which company did the participant receive the vaccine?--- Collected:: 0.04326417081928591;;;TimesVisited: 40.1
Pain and discomfort:--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.04326417081928591;;;TimesVisited: 40.9
How much difficulty do you have climbing a flight of 10 stairs?--- Usual activities, including work, study, housework, family or leisure activities:: 0.04326417081928591;;;TimesVisited: 40.0
Electronic cigarettes?--- Time of blood draw:: 0.04448815787205873;;;TimesVisited: 39.1
Patient pregnant?--- Patient pregnant?: 0.04448815787205873;;;TimesVisited: 39.7
Post-partum (childbirth in the last year)?--- Time of blood draw:: 0.04448815787205873;;;TimesVisited: 39.6
Other chronic neurological disorder (other than stroke/TIA) ?--- Other chronic neurological disorder (other than stroke/TIA) ?: 0.04448815787205873;;;TimesVisited: 39.8
Malignant neoplasm ?--- Time of blood draw:: 0.04448815787205873;;;TimesVisited: 39.3
Prior myocardial infarction ?--- Prior myocardial infarction ?: 0.04448815787205873;;;TimesVisited: 39.7
Other immunosuppressive medications?--- Time of blood draw:: 0.04448815787205873;;;TimesVisited: 39.9
Red eye (Conjunctivitis) ?--- Time of blood draw:: 0.04448815787205873;;;TimesVisited: 39.1
Sore throat ?.1--- Time of blood draw:: 0.04448815787205873;;;TimesVisited: 39.3
How much difficulty do you have lifting or carrying 10 lbs?--- Time of blood draw:: 0.04448815787205873;;;TimesVisited: 39.5
Has the participant had any new disease and/or worsening and/or deterioration of a pre-existing disease?--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.04448815787205873;;;TimesVisited: 39.6
Please move the slider to indicate from 0 to 100 how your health is TODAY, 100 being the best health you can imagine and 0 being the worst health you can imagine.--- Breathlessness:: 0.04448815787205873;;;TimesVisited: 39.5
Other chronic cardiac disease ?--- Time of blood draw:: 0.045758859266776586;;;TimesVisited: 38.0
Anticoagulants?--- Anticoagulants?: 0.045758859266776586;;;TimesVisited: 38.5
Anticoagulants?--- Long Covid: 0.045758859266776586;;;TimesVisited: 38.4
Asymptomatic?--- Time of blood draw:: 0.045758859266776586;;;TimesVisited: 38.7
Hemoptysis / Bloody sputum ?--- Hemoptysis / Bloody sputum ?: 0.045758859266776586;;;TimesVisited: 38.7
Time of blood draw:--- Muscle aches (Myalgia) ?: 0.045758859266776586;;;TimesVisited: 38.0
Chest pain ?.1--- Chest pain ?.1: 0.045758859266776586;;;TimesVisited: 38.1
Dizziness ?.1--- Dizziness ?.1: 0.045758859266776586;;;TimesVisited: 38.8
How many times have you fallen in the past year?--- Long Covid: 0.045758859266776586;;;TimesVisited: 38.0
Trouble speaking (Aphasia / Dysphasia) ?--- Time of blood draw:: 0.04707884801773443;;;TimesVisited: 37.7
Delay between the onset of symptoms  and the draw blood --- Time of blood draw:: 0.04707884801773443;;;TimesVisited: 37.3
Have you been re-hospitalized since your initial visit for COVID-19, excluding outpatient clinic visits and planned follow-up visits?--- Time of blood draw:: 0.04707884801773443;;;TimesVisited: 37.4
How was this follow-up completed?--- Collected:: 0.04707884801773443;;;TimesVisited: 37.4
Delay between the draw of blood and the follow-up visit--- Long Covid: 0.04707884801773443;;;TimesVisited: 37.3
How was this follow-up completed?--- From which company did the participant receive the vaccine?: 0.04707884801773443;;;TimesVisited: 37.5
Who answered the questions? (choice=Patient)--- Who answered the questions? (choice=Patient): 0.04707884801773443;;;TimesVisited: 37.1
Please move the slider to indicate from 0 to 100 how your health is TODAY, 100 being the best health you can imagine and 0 being the worst health you can imagine.--- From which company did the participant receive the vaccine?: 0.04707884801773443;;;TimesVisited: 37.8
Has the participant been vaccinated?--- Long Covid: 0.04707884801773443;;;TimesVisited: 37.6
BMI:--- From which company did the participant receive the vaccine?: 0.048450900895911864;;;TimesVisited: 36.3
Diabetes ?--- Diabetes ?: 0.048450900895911864;;;TimesVisited: 36.9
Chronic hematologic disease ?--- Chronic hematologic disease ?: 0.048450900895911864;;;TimesVisited: 36.0
Time of blood draw:--- Skin rash ?: 0.048450900895911864;;;TimesVisited: 36.8
Wheezing or stridor ?--- Time of blood draw:: 0.048450900895911864;;;TimesVisited: 36.5
Chest pain ?.1--- Time of blood draw:: 0.048450900895911864;;;TimesVisited: 36.4
Dizziness ?.1--- Time of blood draw:: 0.048450900895911864;;;TimesVisited: 36.4
Extremity weakness or numbness ?.1--- Time of blood draw:: 0.048450900895911864;;;TimesVisited: 36.9
Time of blood draw:--- How much difficulty do you have lifting or carrying 10 lbs?: 0.048450900895911864;;;TimesVisited: 36.0
Type of repeat hospital visit: (choice=Hospital admission)--- Type of repeat hospital visit: (choice=Hospital admission): 0.048450900895911864;;;TimesVisited: 36.6
Runny nose (Rhinorrhea) ?.1--- Runny nose (Rhinorrhea) ?.1: 0.048450900895911864;;;TimesVisited: 36.2
How would you rate your current level of functioning? See options above.--- Usual activities, including work, study, housework, family or leisure activities:: 0.048450900895911864;;;TimesVisited: 36.9
How would you rate your current level of functioning? See options above.--- From which company did the participant receive the vaccine?: 0.048450900895911864;;;TimesVisited: 36.6
Is the participant employed in a Microbiology Laboratory?  --- Is the participant employed in a Microbiology Laboratory?  : 0.04987802044737499;;;TimesVisited: 35.5
Patient pregnant?--- Time of blood draw:: 0.04987802044737499;;;TimesVisited: 35.7
Other chronic neurological disorder (other than stroke/TIA) ?--- Time of blood draw:: 0.04987802044737499;;;TimesVisited: 35.6
Chronic hematologic disease ?--- Time of blood draw:: 0.04987802044737499;;;TimesVisited: 35.9
Confusion / altered mental status ?--- Time of blood draw:: 0.04987802044737499;;;TimesVisited: 35.0
Time of blood draw:--- Shortness of breath (Dyspnea) ?.1: 0.04987802044737499;;;TimesVisited: 35.8
Extremity weakness or numbness ?.1--- Extremity weakness or numbness ?.1: 0.04987802044737499;;;TimesVisited: 35.8
Number of comorbidities: --- From which company did the participant receive the vaccine?: 0.04987802044737499;;;TimesVisited: 35.3
